scheduler,seq_cfg_id,page_size,head_dim,num_kv_heads,num_qo_heads,model_name,time_ms,memory_MB,bandwidth_GB_s,num_repeats,decode_len,prefill_len,prefill_chunk_size,num_decode_reqs
Decode + Prefill,1,1,64,4,64,Qwen-MoE-235B,2.6805856073399386,584.25,212.84775948311838,100,16384,8192,8192,32
BatchPrefillWithPagedKVCacheWrapper,1,1,128,8,32,Qwen-8B,7.6398496765395,704.25,90.02063780612453,100,4096,16384,16384,32
BatchPrefillWithPagedKVCacheWrapper,1,1,128,8,64,Llama-3.1-70B,14.361572104295096,832.5,56.60858542128968,100,4096,16384,16384,32
BatchPrefillWithPagedKVCacheWrapper,1,1,64,4,64,Qwen-MoE-235B,9.14386611259646,272.25,29.07622851768821,100,4096,16384,16384,32
BatchAttentionWrapper,1,1,128,8,32,Qwen-8B,7.143457322120667,704.25,96.27609007970254,100,4096,16384,16384,32
BatchAttentionWrapper,1,1,128,8,64,Llama-3.1-70B,13.719394300017091,832.5,59.25832172117009,100,4096,16384,16384,32
BatchAttentionWrapper,1,1,64,4,64,Qwen-MoE-235B,8.97568483132455,272.25,29.62104236293304,100,4096,16384,16384,32
BatchAttentionWrapper (flipped),1,1,128,8,32,Qwen-8B,8.011334034767415,704.25,85.84639432588166,100,4096,16384,16384,32
BatchAttentionWrapper (flipped),1,1,128,8,64,Llama-3.1-70B,15.610101432353257,832.5,52.08090958108785,100,4096,16384,16384,32
BatchAttentionWrapper (flipped),1,1,64,4,64,Qwen-MoE-235B,9.12834015276697,272.25,29.125682892569476,100,4096,16384,16384,32
Decode + Prefill,1,1,128,8,32,Qwen-8B,7.629592543343703,704.25,90.14166047766334,100,4096,16384,16384,32
Decode + Prefill,1,1,128,8,64,Llama-3.1-70B,14.447675457033846,832.5,56.27121703195491,100,4096,16384,16384,32
Decode + Prefill,1,1,64,4,64,Qwen-MoE-235B,9.404781400445435,272.25,28.269571540749237,100,4096,16384,16384,32
BatchPrefillWithPagedKVCacheWrapper,1,1,128,8,32,Qwen-8B,7.899751071300772,1216.25,150.3520971616421,100,8192,16384,16384,32
BatchPrefillWithPagedKVCacheWrapper,1,1,128,8,64,Llama-3.1-70B,14.538693761477868,1344.5,90.30992073916094,100,8192,16384,16384,32
BatchPrefillWithPagedKVCacheWrapper,1,1,64,4,64,Qwen-MoE-235B,9.284073190771872,400.25,42.101040415484206,100,8192,16384,16384,32
BatchAttentionWrapper,1,1,128,8,32,Qwen-8B,7.180751797507207,1216.25,165.40665575397335,100,8192,16384,16384,32
BatchAttentionWrapper,1,1,128,8,64,Llama-3.1-70B,13.87786123353574,1344.5,94.61027597517509,100,8192,16384,16384,32
BatchAttentionWrapper,1,1,64,4,64,Qwen-MoE-235B,8.97588098630309,400.25,43.54660464209071,100,8192,16384,16384,32
BatchAttentionWrapper (flipped),1,1,128,8,32,Qwen-8B,7.996739595300621,1216.25,148.52855047612056,100,8192,16384,16384,32
BatchAttentionWrapper (flipped),1,1,128,8,64,Llama-3.1-70B,15.633904817915624,1344.5,83.98338716667797,100,8192,16384,16384,32
BatchAttentionWrapper (flipped),1,1,64,4,64,Qwen-MoE-235B,9.128512973139683,400.25,42.818489909048516,100,8192,16384,16384,32
Decode + Prefill,1,1,128,8,32,Qwen-8B,7.794526287068924,1216.25,152.38182499884067,100,8192,16384,16384,32
Decode + Prefill,1,1,128,8,64,Llama-3.1-70B,14.617780585901604,1344.5,89.8213154544361,100,8192,16384,16384,32
Decode + Prefill,1,1,64,4,64,Qwen-MoE-235B,9.274313269952934,400.25,42.14534588683175,100,8192,16384,16384,32
BatchPrefillWithPagedKVCacheWrapper,1,1,128,8,32,Qwen-8B,8.31127871380912,2240.25,263.22593862603617,100,16384,16384,16384,32
BatchPrefillWithPagedKVCacheWrapper,1,1,128,8,64,Llama-3.1-70B,14.991375115911165,2368.5,154.28793311929732,100,16384,16384,16384,32
BatchPrefillWithPagedKVCacheWrapper,1,1,64,4,64,Qwen-MoE-235B,9.390688988582957,656.25,68.24516725068395,100,16384,16384,16384,32
BatchAttentionWrapper,1,1,128,8,32,Qwen-8B,7.5063051138156,2240.25,291.45419849752517,100,16384,16384,16384,32
BatchAttentionWrapper,1,1,128,8,64,Llama-3.1-70B,14.189482474558883,2368.5,163.00723337846085,100,16384,16384,16384,32
BatchAttentionWrapper,1,1,64,4,64,Qwen-MoE-235B,8.892653231273094,656.25,72.0672586637286,100,16384,16384,16384,32
BatchAttentionWrapper (flipped),1,1,128,8,32,Qwen-8B,8.244110793338882,2240.25,265.37054091906003,100,16384,16384,16384,32
BatchAttentionWrapper (flipped),1,1,128,8,64,Llama-3.1-70B,15.748092188884815,2368.5,146.87418980710143,100,16384,16384,16384,32
BatchAttentionWrapper (flipped),1,1,64,4,64,Qwen-MoE-235B,9.05439800363448,656.25,70.77987298192016,100,16384,16384,16384,32
Decode + Prefill,1,1,128,8,32,Qwen-8B,8.094016642570494,2240.25,270.291529809632,100,16384,16384,16384,32
Decode + Prefill,1,1,128,8,64,Llama-3.1-70B,14.814179465919732,2368.5,156.13340492945076,100,16384,16384,16384,32
Decode + Prefill,1,1,64,4,64,Qwen-MoE-235B,9.390995605554846,656.25,68.24293903895781,100,16384,16384,16384,32
